"Index","Scale","Manufacturer","Type","Partno","Prototype","Description","Roadname","Repmark","Number","Options","CarLength","CarWidth","CoupledLength","TruckCenter","Color","PurchPrice","CurrPrice","Condition","PurchDate","ServiceDate","Notes"
1,"N","Atlas",10101,,"GP38",,"L&N","L&N","4148",3,4.125,0.762,4.525,2.550,12632256,,,,,,
2,"N","Atlas",10101,,"GP38",,"Missouri Pacific","MP","0000",3,4.125,0.762,4.525,2.550,160,,,,,,
3,"N","Walthers",10101,,"GP38",,"Family Lines","CRR","6003",3,4.125,0.762,4.525,2.550,8421504,,,,,,
4,"N","Walthers",10101,,"GP38",,"Family Lines","CRR","6003",3,4.125,0.762,4.525,2.550,8421504,,,,,,
5,"N","Walthers",10101,,"GP38",,"Seaboard System","SBD","2690",7,4.125,0.762,4.525,2.550,8421504,,,,,,
6,"N","Atlas",10101,,"GP40",,"L&N","L&N","3002",3,4.125,0.762,4.525,2.550,12632256,,,,,,
7,"N","Atlas",10101,,"GP40",,"L&N","L&N","3012",3,4.125,0.762,4.525,2.550,12632256,,,,,,
8,"N","Kato",10101,,"GP40-2",,"Missouri Pacific","MP","3524",259,4.125,0.762,4.525,2.550,160,,,,,,"Actually a GP50.."
9,"N","Atlas",10101,,"GP9",,"L&N","L&N","507",3,3.900,0.750,4.300,2.925,12632256,,,,,,
10,"N","Kato",10101,,"SD40",,"Clinchfield","CRR","3024",3,4.612,0.762,5.013,3.000,,,,,,,
11,"N","Kato",10101,,"SD40-2",,"Family Lines","L&N","8123",3,4.850,0.769,5.250,3.263,8421504,,,,,,
12,"N","Kato",10101,,"SD40",,"Seaboard Coast Line","SCL","8312",3,4.612,0.762,5.013,3.000,,,,,,,
13,"N","Kato",10101,,"SD40",,"Union Pacific","UP","3039",3,4.612,0.762,5.013,3.000,16777088,,,,,,
14,"N","Kato",10101,,"SD40-2",,"CSX","CSX","8186",3,4.850,0.769,5.250,3.263,12632256,,,,,,
15,"N","Kato",10101,,"SD40-2",,"CSX","CSX","8186",3,4.850,0.769,5.250,3.263,12632256,,,,,,
16,"N","Kato",10101,,"SD40-2",,"Family Lines","SCL","8210",3,4.850,0.769,5.250,3.263,8421504,,,,,,
17,"N","Kato",10101,,"SD40-2",,"Santa Fe","SF","5027",3,4.850,0.769,5.250,3.263,16512,,,,,,
18,"N","Atlas",10101,,"SD50",,"Seaboard System","SBD","0000",3,5.025,0.750,5.425,3.425,8421504,,,,,,
19,"N","Atlas",10101,,"U23B",,"Family Lines","L&N","5118",259,4.188,0.762,4.588,2.712,8421504,,,,,,"Actually a B23-7... "
20,"N","Atlas",10101,,"U23B",,"Family Lines","L&N","0000",259,4.188,0.762,4.588,2.712,8421504,,,,,,"Actually a B23-7..."
21,"N","Atlas",10101,,"U23B",,"Family Lines","L&N","0000",259,4.188,0.762,4.588,2.712,8421504,,,,,,"Actually a B23-7...."
22,"N","Kato",10101,,"C30-7",,"Family Lines","L&N","0000",3,4.719,0.744,5.119,3.069,8421504,,,,,,
23,"N","Kato",10101,,"C30-7",,"Family Lines","L&N","7012",3,4.719,0.744,5.119,3.069,8421504,,,,,,
24,"N","Kato",10101,,"C30-7",,"Family Lines","SCL","7087",3,4.719,0.744,5.119,3.069,8421504,,,,,,
25,"N","Kato",10101,,"U30C",,"Seaboard System","SBD","7272",3,4.719,0.750,5.119,3.069,8421504,,,,,,
26,"N","Kato",10101,,"U30C",,"Seaboard System","SBD","7272",3,4.719,0.750,5.119,3.069,8421504,,,,,,
27,"N","Kato",10101,,"U30C",,"Seaboard System","SBD","7272",3,4.719,0.750,5.119,3.069,8421504,,,,,,
28,"N","Kato",10101,,"U30C",,"Seaboard System","SBD","7272",3,4.719,0.750,5.119,3.069,8421504,,,,,,
29,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Finch Elevator","ADEX","510",,3.750,0.750,4.150,3.000,12632256,,,,,,
30,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Peavey","PVFR","761",,3.750,0.750,4.150,3.000,12632256,,,,,,
31,"N","Intermountain Railway Co.",30100,,"Hopper, Covered, 50'","Covered Hopper","Family Lines","L&N","242313",,3.750,0.750,4.150,3.000,16120251,,,,,,
32,"N","Intermountain Railway Co.",30100,,"Hopper, Covered, 50'","Covered Hopper","Family Lines","SCL","242865",,3.750,0.750,4.150,3.000,16120251,,,,,,
33,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Albert City Coop","RRAX","4297",,3.750,0.750,4.150,3.000,16711808,,,,,,
34,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Aurora Coop","ACOX","2",,3.750,0.750,4.150,3.000,16120251,,,,,,
35,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Farnhamville Iowa","RRAX","4295",,3.750,0.750,4.150,3.000,16711808,,,,,,
36,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Klemme Coop","DJRX","661",,3.750,0.750,4.150,3.000,16744640,,,,,,
37,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Klemme Coop","RREX","4209",,3.750,0.750,4.150,3.000,16744640,,,,,,
38,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Missouri Pacific","C&EI","716601",,3.750,0.750,4.150,3.000,16120251,,,,,,
39,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Missouri Pacific","C&EI","716601",,3.750,0.750,4.150,3.000,16120251,,,,,,
40,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Missouri Pacific","MP","716129",,3.750,0.750,4.150,3.000,16120251,,,,,,
41,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Missouri Pacific","MP","716129",,3.750,0.750,4.150,3.000,16120251,,,,,,
42,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Missouri Pacific","MP","716379",,3.750,0.750,4.150,3.000,16120251,,,,,,
43,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Missouri Pacific","MP","716379",,3.750,0.750,4.150,3.000,16120251,,,,,,
44,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Ralston-Jefferson","NAHX","55217",,3.750,0.750,4.150,3.000,16711808,,,,,,
45,"N","Precision Masters",30100,,"Hopper, Covered, 50'","Covered Hopper","Rio Grande","DRGW","15650",,3.750,0.750,4.150,3.000,16744512,,,,,,
